Density,n,Wand,AIC,BIC,BR,Knuth,SC,RIH,RMG-B,RMG-R,TS,L2CV,KLCV
5.0,1000.0,0.06913359812600951,0.079318942817603,0.10908658734718266,0.08934922981572352,0.09432847203768063,0.09567184579697588,0.1024320538187423,0.11555366890115351,0.10812580574709643,0.0757646231149824,0.07962253944063444,0.08683001711117977
5.0,5000.0,0.041348212126321615,0.04883559640440053,0.07448199098794042,0.05473826104095233,0.05956413493434364,0.057567048195955345,0.066293296237331,0.06776829481585955,0.06815950049755105,0.04405047847766056,0.0525490473810717,0.05546843855276885
5.0,25000.0,0.024354125778821876,0.02974736203956762,0.050353415273517846,0.032093760719330684,0.03517146985307701,0.02942480949121872,0.04217968587368208,0.04124865396099508,0.04278128510494805,0.025085685556925957,0.03280552323426425,0.03377556490764451
6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,50.0,0.2759573529049092,0.29548774890043605,0.28860133662669946,0.2864976034611295,0.28724250865447176,0.2836359585113343,0.27017887177089345,0.357992104316233,0.2763460255517322,0.3544264743299002,0.422293725731912,0.3877823991229912
7.0,200.0,0.2380523468840083,0.21659656518756748,0.23454284201449987,0.23055313136897362,0.22317812667364603,0.2213015088063223,0.22037770072656346,0.23988301518796484,0.22140750002028242,0.24478794107244461,0.26500316334487256,0.26506196489906814
7.0,1000.0,0.16905303439260977,0.13342336809050498,0.17322856883166637,0.13813688041097538,0.14126165165104165,0.1431213124947364,0.17345290478690698,0.18916049256364117,0.17345860898371118,0.13360788470960436,0.14449987799333305,0.15369716912860804
7.0,5000.0,0.08251266311260869,0.08009383593553447,0.11869136422988301,0.08501662393344943,0.09912522611338954,0.09840475797580224,0.1053915400730222,0.11064630246755652,0.10682640492841398,0.07107641366591017,0.08740719011433944,0.09036323064120914
7.0,25000.0,0.0432962422152317,0.04722535485359508,0.0765369664573062,0.04926437591512877,0.05791249436064124,0.049893291311782245,0.06727749811734773,0.0662969225468574,0.06632295476367288,0.039352407739644796,0.05408758259511543,0.05711365778344336
8.0,50.0,0.18054951196554175,0.20405595438891452,0.19646053068986646,0.19426534194916253,0.19728348453605032,0.19597502890779478,0.18446277774636297,0.2487615731262144,0.1925022958423369,0.2117878792756486,0.21215257403322793,0.2334474240902321
8.0,200.0,0.11783291842357199,0.13429291721810774,0.13440000459954746,0.1315088704613203,0.1300315861100939,0.1272556377342851,0.13196924462834667,0.17791262632388508,0.1371081098575025,0.13116184992150245,0.14992631905168827,0.1753450803601368
8.0,1000.0,0.07033205596551524,0.07672027246968438,0.08950170539393448,0.07927326673131825,0.08180732751641603,0.08264586135199636,0.09122161574017171,0.09934985896840819,0.09519616030317156,0.08250211695103583,0.09180200328790723,0.10514707232307506
8.0,5000.0,0.04188634466686943,0.04510287908984484,0.057659751873507636,0.04643036892364874,0.05074458496843397,0.04709757841699409,0.05678450856828312,0.05889249804113607,0.057693082996492735,0.0393510046852224,0.059520128339488436,0.06330262860529637
8.0,25000.0,0.02478810773997018,0.026233119012937792,0.03641028954288305,0.026873877180248324,0.030547565648003285,0.030169765629621714,0.036689827988382905,0.03694525174488303,0.03654875701479791,0.021757864063141383,0.03545918069119095,0.03754341224083391
9.0,50.0,0.2154361161306372,0.24178771835564722,0.2311043264297107,0.22920214286136098,0.23379591999770802,0.23026167400337566,0.2259919545188183,0.30733791608772143,0.23086166322256005,0.2582396002456687,0.2482837265900622,0.26056135837546307
9.0,200.0,0.16779458162423105,0.17362199144106102,0.17697493847757223,0.172129898008711,0.16982143249778361,0.16693009073208862,0.17475456494492325,0.21385411623970932,0.1839853662297667,0.18433514722296873,0.1911843130546618,0.19037102577685497
